campaign,status,ad_group,keyword,match_type,final_url,basis
Search | Nonbrand | Mongolia Horse Trek | EN,PAUSED - DRAFT ONLY,Horse Trekking Mongolia,mongolia horse trekking,Exact,https://www.8lakestours.com/horse-trekking-mongolia,High commercial relevance to exact product
Search | Nonbrand | Mongolia Horse Trek | EN,PAUSED - DRAFT ONLY,Horse Trekking Mongolia,mongolia horse trekking,Phrase,https://www.8lakestours.com/horse-trekking-mongolia,Controlled discovery around core product
Search | Nonbrand | Mongolia Horse Trek | EN,PAUSED - DRAFT ONLY,Horse Trekking Mongolia,horse trekking mongolia,Exact,https://www.8lakestours.com/horse-trekking-mongolia,Core word-order variant
Search | Nonbrand | Mongolia Horse Trek | EN,PAUSED - DRAFT ONLY,Horse Trekking Mongolia,horseback riding tour mongolia,Phrase,https://www.8lakestours.com/horse-trekking-mongolia,Commercial tour intent
Search | Nonbrand | Mongolia Horse Trek | EN,PAUSED - DRAFT ONLY,Horse Trekking Mongolia,mongolia horse riding tour,Exact,https://www.8lakestours.com/horse-trekking-mongolia,Commercial tour intent
Search | Nonbrand | Mongolia Horse Trek | EN,PAUSED - DRAFT ONLY,Horse Trekking Mongolia,mongolia horse riding holiday,Phrase,https://www.8lakestours.com/horse-trekking-mongolia,Travel purchase intent
Search | Nonbrand | Mongolia Horse Trek | EN,PAUSED - DRAFT ONLY,Eight Lakes / Naiman Nuur,8 lakes trek mongolia,Exact,https://www.8lakestours.com/horse-trekking-mongolia,Observed click-producing Search Console query
Search | Nonbrand | Mongolia Horse Trek | EN,PAUSED - DRAFT ONLY,Eight Lakes / Naiman Nuur,eight lakes mongolia tour,Phrase,https://www.8lakestours.com/horse-trekking-mongolia,Observed destination plus commercial qualifier
Search | Nonbrand | Mongolia Horse Trek | EN,PAUSED - DRAFT ONLY,Eight Lakes / Naiman Nuur,eight lakes horse trek,Exact,https://www.8lakestours.com/horse-trekking-mongolia,Destination plus exact product
Search | Nonbrand | Mongolia Horse Trek | EN,PAUSED - DRAFT ONLY,Eight Lakes / Naiman Nuur,naiman nuur horse trek,Exact,https://www.8lakestours.com/horse-trekking-mongolia,Local destination name plus product
Search | Nonbrand | Mongolia Horse Trek | EN,PAUSED - DRAFT ONLY,Eight Lakes / Naiman Nuur,naiman nuur tour,Phrase,https://www.8lakestours.com/horse-trekking-mongolia,Destination purchase intent
Search | Nonbrand | Mongolia Horse Trek | EN,PAUSED - DRAFT ONLY,Orkhon Valley,orkhon valley horse trek,Exact,https://www.8lakestours.com/horse-trekking-mongolia,Exact itinerary and product
